Genus	Subfamily	Family	Accession	Phage	Genome	Genome size
Gyeongsanvirus			MF979559	Ralstonia phage DU_RP_I	dsDNA	40657
Gyeongsanvirus			MN270889	Ralstonia phage P-PSG-11	dsDNA	40313
Hapakavirus			OK570185	Pantoea phage Nufs112	dsDNA	45951
Jalkavirus			GU943031	uncultured phage_MedDCM-OCT-S08-C159	dsDNA	10313
Jiaweivirus			OR464703	Mycobacterium phage jiawei	dsDNA	41672
Kafavirus			KX397280	Phage MedPE-SWcel-C56	dsDNA	45260
Kajamvirus			HQ317388	Synechococcus phage S-RIP1	dsDNA	44892
Kembevirus			KC310806	Synechococcus phage S-CBP2	dsDNA	46237
Krakvirus			AP013549	uncultured phage_MedDCM-OCT-S39-C11	dsDNA	41987
Kuwvirus			OQ376857	Paracoccus phage ParKuw1	dsDNA	44509
Lauvirus			KJ183191	Podophage Lau218	dsDNA	39425
Lingvirus			HQ332140	Prochlorococcus phage P-GSP1	dsDNA	44945
Lirvirus			HQ633062	Synechococcus phage S-CBP3	dsDNA	47375
Luzcentumvirus			OP329100	Pseudomonas phage LUZ100	dsDNA	37343
Mallvirus			OQ376858	Paracoccus phage ParMal1	dsDNA	44565
Morelosvirus			MN988539	Rhizobium phage RHph_I20	dsDNA	41785
Nohivirus			AP013547	uncultured phage_MedDCM-OCT-S31-C1	dsDNA	43552
Oceanidvirus			OR420755	Roseobacter phage CRP-113	dsDNA	39709
Oceanidvirus			OR420737	Roseobacter phage CRP-171	dsDNA	39796
Oinezvirus			AP013546	uncultured phage_MedDCM-OCT-S37-C6	dsDNA	42127
Paadamvirus			JX483873	Rhizobium phage RHEph01	dsDNA	43444
Paadamvirus			MW023914	Rhizobium phage vB_RleA_TRX32-1	dsDNA	42787
Pagavirus			GU943068.1	uncultured phage_MedDCM-OCT-S05-C849	dsDNA	14714
Pairvirus			KM199771	Mesorhizobium phage vB_MloP_Lo5R7ANS	dsDNA	45718
Pastovirus			MT708545	Rhizobium phage Pasto	dsDNA	42407
Pedosvirus			AP013539	uncultured phage_MedDCM-OCT-S28-C3	dsDNA	43444
Pekhitvirus			GU943054	uncultured phage_MedDCM-OCT-S04-C24	dsDNA	20430
Pelagivirus			KC465901	Pelagibacter phage HTVC019P	dsDNA	42084
Pelagivirus			AP013542	uncultured phage_MedDCM-OCT-S35-C6	dsDNA	42564
Podivirus			GU943065.1	uncultured phage_MedDCM-OCT-S05-C243	dsDNA	14123
Powvirus			GU943073.1	uncultured phage MedDCM-OCT-S08-C41	dsDNA	28224
Proddevirus			MZ666938	Desulfovibrio phage ProddE	dsDNA	42637
Reminisvirus			OL362271	Klebsiella phage 6939	dsDNA	46039
Reminisvirus			OR591532	Klebsiella phage KL01	dsDNA	45854
Sednavirus			HQ317389	Synechococcus phage S-RIP2	dsDNA	45728
Shangxiadianvirus			OR420741	Roseobacter phage CRP-118	dsDNA	41088
Shangxiadianvirus			OR420752	Roseobacter phage CRP-403	dsDNA	40567
Sieqvirus			AP013541	uncultured phage_MedDCM-OCT-S42-C7	dsDNA	42399
Stopalavirus			AP013548	uncultured phage_MedDCM-OCT-S38-C3	dsDNA	43698
Stopavirus			KC465900	Pelagibacter phage HTVC011P	dsDNA	39921
Stupnyavirus			KT997876.1	uncultured phage_Deep-GF0-KM16-C193	dsDNA	24480
Sumtervirus			MN857473	Caulobacter phage S2B	dsDNA	45682
Tawavirus			KY065149	Vibrio phage JSF7	dsDNA	46318
Thoosavirus			MH598799	Pelagibacter phage HTVC025P	dsDNA	37251
Tiilvirus			AF338467	Synechococcus phage P60	dsDNA	46675
Tiranvirus			MZ803112	Synechococcus T7-like virus S-TIP28	dsDNA	45749
Tolavirus			OM913599	Aeromonas phage vB_AspA_Tola	dsDNA	45276
Triteiavirus			OR420734	Roseobacter phage CRP-804	dsDNA	41620
Vistulavirus			MK984681	Bordetella phage vB_BbrP_BB8	dsDNA	41593
Voetvirus			EF372997	Synechococcus phage Syn5	dsDNA	46214
Votkovvirus			AP013540	uncultured phage_MedDCM-OCT-S28-C10	dsDNA	40866
Yinyavirus			ON624112	Aeromonas phage Aer_P220	dsDNA	45207
Youngvirus			MZ592920	Vibrio phage vB_VpP_G1	dsDNA	43859
Junduvirus	Coarsevirinae	Crevaviridae	MZ130487.1	uncultured phage cr25_1	dsDNA	94533
Junduvirus	Coarsevirinae	Crevaviridae	BK044746.1	Crassvirales sp. isolate ct8tL4	dsDNA	93560
Kahucivirus	Doltivirinae	Crevaviridae	MT774393	uncultured phage cr127_1	dsDNA	83412
Kingevirus	Doltivirinae	Crevaviridae	PV828351.1	human gut metagenome virus isolate 136	dsDNA	91062
Kingevirus	Doltivirinae	Crevaviridae	MZ130490.1	uncultured phage cr13_1	dsDNA	92132
Arseivirus		Crevaviridae	MZ130489.1	uncultured phage cr2_1	dsDNA	95815
Arseivirus		Crevaviridae	PV828361.1	human gut metagenome virus isolate 243	dsDNA	95584
Bohxovirus	Oafivirinae	Darmviridae	MZ130491.1	uncultured phage cr61_1	dsDNA	98573
Buhlduvirus	Oafivirinae	Darmviridae	MT774410.1	uncultured phage cr272_1	dsDNA	98667
Burzaovirus	Oafivirinae	Darmviridae	MT774406.1	uncultured phage cr124_1	dsDNA	101532
Cacepaovirus	Oafivirinae	Darmviridae	MT774409.1	uncultured phage cr131_1	dsDNA	96717
Chuhaivirus	Oafivirinae	Darmviridae	MT774408.1	uncultured phage cr130_1	dsDNA	94826
Grauhtavirus		Darmviridae	BK049724.1	Caudoviricetes sp. isolate ctyGw4	dsDNA	98215
Grauhtavirus		Darmviridae	BK054566.1	bacteriophage sp. isolate ct58r23	dsDNA	98890
Pelduvirus		Darmviridae	BK052805.1	Caudoviricetes sp. isolate ctUiB3	dsDNA	93628
Scendivirus		Darmviridae	MT774411.1	uncultured phage cr273_1	dsDNA	97886
Sdahravirus		Darmviridae	MT774402.1	uncultured phage cr7_1	dsDNA	103832
Shedivirus		Darmviridae	BK019655.1	Caudoviricetes sp. isolate ctRU85	dsDNA	99611
Shedivirus		Darmviridae	BK039644.1	Caudoviricetes sp. isolate ctnLP2	dsDNA	102343
Smehivirus		Darmviridae	OP072672.1	bacteriophage sp. isolate 3530_129865	dsDNA	102998
Smehivirus		Darmviridae	MZ130497.1	uncultured phage cr29_1	dsDNA	104085
Jahgtovirus	Churivirinae	Intestiviridae	BK035341.1	Crassvirales sp. isolate ctrhr9	dsDNA	97155
Jahgtovirus	Churivirinae	Intestiviridae	BK040584.1	Crassvirales sp. isolate ctv5c4	dsDNA	96938
Carjivirus	Crudevirinae	Intestiviridae	OP072735.1	bacteriophage sp. isolate 3729_82489	dsDNA	98695
Carjivirus	Crudevirinae	Intestiviridae	MK238400	CrAssphage ZA	dsDNA	97757
Dabirmavirus	Crudevirinae	Intestiviridae	MZ130486.1	uncultured phage cr9_1	dsDNA	92361
Delmidovirus	Crudevirinae	Intestiviridae	MZ130476.1	uncultured phage cr123_1	dsDNA	92241
Delmidovirus	Crudevirinae	Intestiviridae	MT774386	uncultured phage cr110_1	dsDNA	89781
Diorhovirus	Crudevirinae	Intestiviridae	BK051111.1	Crassvirales sp. isolate ctm7p31	dsDNA	92924
Diorhovirus	Crudevirinae	Intestiviridae	MZ130474.1	uncultured phage cr49_1	dsDNA	92367
Drivevirus	Crudevirinae	Intestiviridae	MZ130480.1	uncultured phage cr91_1	dsDNA	93391
Drivevirus	Crudevirinae	Intestiviridae	BK035355.1	Crassvirales sp. isolate ctpoT21	dsDNA	93329
Endlipuvirus	Crudevirinae	Intestiviridae	MZ130488.1	uncultured phage cr17_1	dsDNA	91714
Whopevirus	Crudevirinae	Intestiviridae	MH616963	crAssphage sp. isolate ctbg_1	dsDNA	94878
Fohxhuevirus	Obtuvirinae	Intestiviridae	MT774384	uncultured phage cr8_1	dsDNA	92668
Fohxhuevirus	Obtuvirinae	Intestiviridae	BK035433.1	Crassvirales sp. isolate ctqeI6	dsDNA	93440
Hacihdavirus	Obtuvirinae	Intestiviridae	MT774394	uncultured phage cr271_1	dsDNA	92815
Wotdevirus	Obtuvirinae	Intestiviridae	MH552500	crAssphage sp. isolate ctcc615	dsDNA	90023
Dilupovirus		Intestiviridae	BK058706.1	Crassvirales sp. isolate ctARy15	dsDNA	93205
Polaswivirus		Intestiviridae	BK051361.1	Crassvirales sp. isolate ctCIh1	dsDNA	95711
Polaswivirus		Intestiviridae	BK035354.1	Crassvirales sp. isolate ctE3H10	dsDNA	88387
Rudgehvirus		Intestiviridae	OQ198719	Bacteroides cellulosilyticus phage 11	dsDNA	90575
Sovupevirus		Intestiviridae	BK054330.1	Crassvirales sp. isolate ctYll3	dsDNA	90196
Tahdivirus		Intestiviridae	PV828358.1	human gut metagenome virus isolate 238	dsDNA	91543
Wiibonovirus		Intestiviridae	MZ130484.1	uncultured phage cr54_1	dsDNA	97536
Akihdevirus	Asinivirinae	Steigviridae	KC821624	Cellulophaga phage phi14:2	dsDNA	100418
Kahnovirus	Asinivirinae	Steigviridae	MZ130483.1	uncultured phage cr44_1	dsDNA	93564
Kehishuvirus	Asinivirinae	Steigviridae	OQ221549	Bacteroides phage PhiCrAssBcn14	dsDNA	99601
Kehishuvirus	Asinivirinae	Steigviridae	OQ221544	Bacteroides phage PhiCrAssBcn9	dsDNA	99752
Kolpuevirus	Asinivirinae	Steigviridae	MZ130478.1	uncultured phage cr151_1	dsDNA	100314
Kolpuevirus	Asinivirinae	Steigviridae	OQ198718	Bacteroides cellulosilyticus phage 3	dsDNA	99525
Lahndsivirus	Asinivirinae	Steigviridae	MT774387	uncultured phage cr111_1	dsDNA	102434
Lebriduvirus	Asinivirinae	Steigviridae	MZ130485.1	uncultured phage cr18_1	dsDNA	104564
Lebriduvirus	Asinivirinae	Steigviridae	PV828360.1	human gut metagenome virus isolate 240	dsDNA	101638
Mahlunavirus	Asinivirinae	Steigviridae	MT774392	uncultured phage cr128_1	dsDNA	95150
Mahstovirus	Asinivirinae	Steigviridae	MT774378	uncultured phage cr106_1	dsDNA	101662
Pamirivirus	Asinivirinae	Steigviridae	MT774389	uncultured phage cr116_1	dsDNA	101082
Paundivirus	Asinivirinae	Steigviridae	KJ003983	IAS virus	dsDNA	99915
Pipoluvirus	Asinivirinae	Steigviridae	MT774385	uncultured phage cr108_1	dsDNA	101437
Wulfhauvirus	Asinivirinae	Steigviridae	MT074136	Bacteroides phage DAC15	dsDNA	99494
Dilkevirus		Steigviridae	BK046217.1	Crassvirales sp. isolate ctjCy3	dsDNA	101347
Flerehovirus		Steigviridae	MT774390	uncultured phage cr85_1	dsDNA	98164
Kumbuvirus		Steigviridae	BK035346.1	Crassvirales sp. isolate ctScT2	dsDNA	99337
Madkivirus		Steigviridae	BK035338.1	Crassvirales sp. isolate ct9rE10	dsDNA	102128
Madkivirus		Steigviridae	BK035421.1	Crassvirales sp. isolate ctk9A19	dsDNA	93784
Snepbuvirus		Steigviridae	MT774388	uncultured phage cr112_1	dsDNA	102301
Afonbuvirus	Bearivirinae	Suoliviridae	MT774401.1	uncultured phage cr6_1	dsDNA	97422
Afonbuvirus	Bearivirinae	Suoliviridae	MZ130492.1	uncultured phage cr12_1	dsDNA	96892
Canhaevirus	Boorivirinae	Suoliviridae	MT774382	uncultured phage cr10_1	dsDNA	99985
Canhaevirus	Boorivirinae	Suoliviridae	PV828359.1	human gut metagenome virus isolate 239	dsDNA	99328
Cohcovirus	Boorivirinae	Suoliviridae	BK031744.1	Caudoviricetes sp. isolate ct2sJ3	dsDNA	102371
Cohcovirus	Boorivirinae	Suoliviridae	OP072647.1	bacteriophage sp. isolate 3470_77927	dsDNA	100501
Culoivirus	Boorivirinae	Suoliviridae	MZ130477.1	uncultured phage cr149_1	dsDNA	100971
Blohavirus	Loutivirinae	Suoliviridae	MZ130495.1	uncultured phage cr150_1	dsDNA	101130
Blohavirus	Loutivirinae	Suoliviridae	BK025926.1	Caudoviricetes sp. isolate ctfWg1	dsDNA	101477
Buchavirus	Loutivirinae	Suoliviridae	MZ130493.1	uncultured phage cr105_1	dsDNA	100650
Buchavirus	Loutivirinae	Suoliviridae	BK029630.1	Caudoviricetes sp. isolate ctPFf2	dsDNA	101383
Buorbuivirus	Loutivirinae	Suoliviridae	MT774400.1	uncultured phage cr4_1	dsDNA	96055
Buorbuivirus	Loutivirinae	Suoliviridae	BK044470.1	Caudoviricetes sp. isolate ctBsf12	dsDNA	99686
Aurodevirus	Uncouvirinae	Suoliviridae	MT774404.1	uncultured phage cr114_1	dsDNA	98308
Besingivirus	Uncouvirinae	Suoliviridae	MT774379	uncultured phage cr118_1	dsDNA	92600
Birpovirus	Uncouvirinae	Suoliviridae	MT774405.1	uncultured phage cr115_1	dsDNA	99848
Cervivirus		Suoliviridae	MZ130499.1	uncultured phage cr35_1	dsDNA	97706
Dechshavirus		Suoliviridae	AP017903	Azobacteroides phage ProJPt-Bp1	dsDNA	99517
Glikeavirus		Suoliviridae	BK016924.1	Caudoviricetes sp. isolate ctAZm3	dsDNA	96447
Horekuvirus		Suoliviridae	MZ130498.1	uncultured phage cr16_1	dsDNA	104752
Horekuvirus		Suoliviridae	MT774398.1	uncultured phage cr60_1	dsDNA	100198
Ibumevirus		Suoliviridae	MZ130494.1	uncultured phage cr19_1	dsDNA	100255
Ildiruevirus		Suoliviridae	MT774403.1	uncultured phage cr113_1	dsDNA	98557
Ildiruevirus		Suoliviridae	MZ130496.1	uncultured phage cr82_1	dsDNA	102100
Ponsivirus		Suoliviridae	MT774397.1	uncultured phage cr56_1	dsDNA	97290
Shelovirus		Suoliviridae	MT774380	uncultured phage cr1_1	dsDNA	99882
Shelovirus		Suoliviridae	MT774376	uncultured phage cr55_1	dsDNA	98340
Shuolduvirus		Suoliviridae	MT774395.1	uncultured phage cr52_1	dsDNA	103665
Snuvovirus		Suoliviridae	MT774407.1	uncultured phage cr125_1	dsDNA	98095
Snuvovirus		Suoliviridae	BK047645.1	Caudoviricetes sp. isolate ctV2921	dsDNA	98652
Spihruvirus		Suoliviridae	OP031039.1	bacteriophage sp. isolate 1753_52950	dsDNA	94883
Spihruvirus		Suoliviridae	BK054487.1	Caudoviricetes sp. isolate ctWSb2	dsDNA	98731
Sulruvirus		Suoliviridae	MT774396.1	uncultured phage cr53_1	dsDNA	101153
Sulruvirus		Suoliviridae	OP072317.1	bacteriophage sp. isolate 2467_106704	dsDNA	98980
Taduhovirus		Suoliviridae	MZ130500.1	uncultured phage cr23_1	dsDNA	98182
Taduhovirus		Suoliviridae	OP030748.1	bacteriophage sp. isolate 0122_104628	dsDNA	97628
Trofluuvirus		Suoliviridae	MZ130482.1	uncultured phage cr77_1	dsDNA	99704
Trofluuvirus		Suoliviridae	BK028893.1	Caudoviricetes sp. isolate ctOFB14	dsDNA	101921
Wendovervirus	Sescentorumvirinae	Epsomviridae	OR769223.1	uncultured phage HB1	dsDNA	659950
Hatfieldvirus	Quadringentisvirinae	Lakviridae	OR769222.1	uncultured phage RVC_JS4_GC31	dsDNA	476085
Amboselivirus	Quingentivirinae	Lakviridae	MK250020	Prevotella phage Lak-B1	dsDNA	547991
Vetruanivirus	Quingentivirinae	Lakviridae	MK250029	Prevotella phage Lak-C1	dsDNA	540217
Vetruanivirus	Quingentivirinae	Lakviridae	OR769218.1	uncultured phage RVC AP1_GC26	dsDNA	517629
Crabavirus		Tripviridae	BK059105.1	virus sp. ctML55	dsDNA	192022
Agtrevirus	Aglimvirinae	Ackermannviridae	FJ373894	Shigella phage phiSboM-AG3	dsDNA	158006
Agtrevirus	Aglimvirinae	Ackermannviridae	LC373201	Enterobacter phage phiEM4	dsDNA	160766
Limestonevirus	Aglimvirinae	Ackermannviridae	HE600015	Dickeya phage vB-DsoM-LIMEstone1	dsDNA	152427
Limestonevirus	Aglimvirinae	Ackermannviridae	KJ716335	Dickeya phage RC-2014	dsDNA	155346
Kuttervirus	Cvivirinae	Ackermannviridae	MT074474	Salmonella phage aagejoakim	dsDNA	156801
Kuttervirus	Cvivirinae	Ackermannviridae	MT074471	Salmonella phage allotria	dsDNA	151015
Campanilevirus		Ackermannviridae	MH375644	Vibrio phage YC	dsDNA	147890
Kujavirus		Ackermannviridae	MN718199	Vibrio phage vB_VchM_Kuja	dsDNA	148180
Miltonvirus		Ackermannviridae	MH929319	Serratia phage vB_SmaA_3M	dsDNA	159398
Miltonvirus		Ackermannviridae	JX878496	Serratia phage phiMAM1	dsDNA	157834
Nezavisimistyvirus		Ackermannviridae	MG973030	Erwinia phage vB_EamM-Bue1	dsDNA	164037
Nezavisimistyvirus		Ackermannviridae	KP037007	Erwinia phage phiEa2809	dsDNA	162160
Taipeivirus		Ackermannviridae	AB797215	Klebsiella phage 0507-KN2-1	dsDNA	159991
Taipeivirus		Ackermannviridae	KX147096	Serratia phage vB_Sru_IME250	dsDNA	154938
Tedavirus		Ackermannviridae	KY914485	Aeromonas phage phiA8-29	dsDNA	144974
Vapseptimavirus		Ackermannviridae	MK795384	Vibrio phage VAP7	dsDNA	144685
Acionnavirus		Kyanoviridae	KF156340	Synechococcus phage S-MbCM100	dsDNA	170438
Ahtivirus		Kyanoviridae	GU071096	Synechococcus phage S-ShM2	dsDNA	179563
Alisovirus		Kyanoviridae	KU686207	Synechococcus phage S-CAM22	dsDNA	172230
Anaposvirus		Kyanoviridae	HQ634177	Synechococcus phage S-CAM1	dsDNA	198013
Atlauavirus		Kyanoviridae	KJ019052	Synechococcus phage ACG-2014f_Syn7803C7	dsDNA	216628
Atlauavirus		Kyanoviridae	KJ019091	Synechococcus phage ACG-2014f_Syn7803US26	dsDNA	196842
Bellamyvirus		Kyanoviridae	MF351863	Synechococcus phage Bellamy	dsDNA	204930
Bristolvirus		Kyanoviridae	KU594606	Cyanophage S-RIM32	dsDNA	194437
Brizovirus		Kyanoviridae	KX349310	Cyanophage S-RIM12 isolate RW_01_0310	dsDNA	174670
Brizovirus		Kyanoviridae	KX349313	Cyanophage S-RIM12 isolate RW_06_0310	dsDNA	175557
Chalconvirus		Kyanoviridae	KJ019054	Synechococcus phage ACG-2014e	dsDNA	189418
Chalconvirus		Kyanoviridae	KJ019082	Synechococcus phage ACG-2014i	dsDNA	190768
Charybdisvirus		Kyanoviridae	KU686199	Synechococcus phage S-CAM3	dsDNA	198190
Cymopoleiavirus		Kyanoviridae	KU686211	Synechococcus phage S-WAM2	dsDNA	186386
Emcearvirus		Kyanoviridae	HQ634175	Cyanophage P-RSM1	dsDNA	177211
Galenevirus		Kyanoviridae	JN371769	Synechococcus phage metaG-MbCM1	dsDNA	172879
Gibbetvirus		Kyanoviridae	FM207411	Synechococcus phage S-RSM4	dsDNA	194454
Glaucusvirus		Kyanoviridae	GU071097	Synechococcus phage S-SSM5	dsDNA	176184
Greenvirus		Kyanoviridae	HQ316583	Synechococcus phage S-SSM4	dsDNA	182801
Haifavirus		Kyanoviridae	KM359505	Prochlorococcus phage P-TIM68	dsDNA	197361
Huanghaivirus		Kyanoviridae	MT162466	Synechococcus phage S-N03	dsDNA	167069
Kanaloavirus		Kyanoviridae	KU686206	Synechococcus phage S-CAM9	dsDNA	174830
Leucotheavirus		Kyanoviridae	MH920639	Synechococcus phage S-P4	dsDNA	158485
Leucotheavirus		Kyanoviridae	HQ634189	Synechococcus phage Syn30	dsDNA	178807
Libanvirus		Kyanoviridae	KP211958	Cyanophage P-TIM40	dsDNA	188632
Lipsvirus		Kyanoviridae	GU071098	Synechococcus phage S-SSM7	dsDNA	232878
Lowelvirus		Kyanoviridae	KJ019028	Synechococcus phage ACG-2014d	dsDNA	179116
Macariavirus		Kyanoviridae	KJ019071	Synechococcus phage ACG-2014g	dsDNA	174885
Makaravirus		Kyanoviridae	MT162467	Synechococcus phage S-H34	dsDNA	167040
Makelovirus		Kyanoviridae	MH629685	Synechococcus virus S-PRM1	dsDNA	144311
Mazuvirus		Kyanoviridae	KU686212	Synechococcus phage S-CAM7 isolate 0910CC49	dsDNA	216121
Namakavirus		Kyanoviridae	JN371768	Synechococcus phage S-MbCM6	dsDNA	176043
Neptunevirus		Kyanoviridae	KX349289	Synechococcus phage S-RIM8	dsDNA	171216
Neptunevirus		Kyanoviridae	KU594605	Cyanophage S-RIM50	dsDNA	174307
Nereusvirus		Kyanoviridae	KJ019133	Synechococcus phage ACG-2014b Syn9311C4	dsDNA	172874
Nereusvirus		Kyanoviridae	KJ019040	Synechococcus phage ACG-2014b Syn7803C61	dsDNA	154990
Neritesvirus		Kyanoviridae	HQ634178	Synechococcus phage S-CAM8	dsDNA	171407
Nerrivikvirus		Kyanoviridae	HQ317292	Synechococcus phage S-RIM2 R1_1999	dsDNA	175430
Nilusvirus		Kyanoviridae	GU071095	Synechococcus phage S-SM2	dsDNA	190789
Nodensvirus		Kyanoviridae	AJ630128	Bacteriophage S-PM2	dsDNA	196280
Ormenosvirus		Kyanoviridae	DQ149023	Synechococcus phage syn9	dsDNA	177300
Palaemonvirus		Kyanoviridae	GU071103	Prochlorococcus phage P-SSM7	dsDNA	182180
Pontusvirus		Kyanoviridae	GU071106	Synechococcus phage Syn19	dsDNA	175230
Potamoivirus		Kyanoviridae	KU686201	Synechococcus phage S-CAM4	dsDNA	191983
Potamoivirus		Kyanoviridae	KJ019089	Synechococcus phage ACG-2014j	dsDNA	192117
Ronodorvirus		Kyanoviridae	HQ337021	Prochlorococcus phage P-SSM3	dsDNA	179063
Ronodorvirus		Kyanoviridae	AY940168	Prochlorococcus phage P-SSM4	dsDNA	178249
Salacisavirus		Kyanoviridae	AY939844	Prochlorococcus phage P-SSM2	dsDNA	252401
Scyllavirus		Kyanoviridae	MW117966	Synechococcus phage S-H9-1	dsDNA	192454
Sedonavirus		Kyanoviridae	KF156338	Synechococcus phage ACG-2014h	dsDNA	189311
Serangoonvirus		Kyanoviridae	MW015081	Synechococcus phage S-SRM01	dsDNA	240842
Shandvirus		Kyanoviridae	MH107246	Synechococcus phage S-B64	dsDNA	151867
Shandvirus		Kyanoviridae	KY945241	Synechococcus phage S-H35	dsDNA	174231
Shenzhenivirus		Kyanoviridae	OL473597	Synechococcus phage S-SZBM1	dsDNA	177834
Sokavirus		Kyanoviridae	KU686210	Synechococcus phage S-WAM1	dsDNA	185102
Tamkungvirus		Kyanoviridae	MH412654	Synechococcus phage S-T4	dsDNA	181082
Tefnutvirus		Kyanoviridae	HQ317383	Synechococcus phage S-IOM18	dsDNA	171797
Thaumasvirus		Kyanoviridae	MH512890	Cyanophage S-TIM4	dsDNA	176495
Thetisvirus		Kyanoviridae	GU071094	Synechococcus phage S-SM1	dsDNA	174079
Vellamovirus		Kyanoviridae	KX349294	Cyanophage S-RIM44	dsDNA	197450
Vellamovirus		Kyanoviridae	GU071105	Prochlorococcus phage Syn1	dsDNA	191195
Yellowseavirus		Kyanoviridae	MW117965	Synechococcus phage S-H38	dsDNA	180224
Yushanluvirus		Kyanoviridae	MW147367	Synechococcus phage S-H9-2	dsDNA	187320
Zhoulongquanvirus		Kyanoviridae	MK867354	Synechococcus phage S-SCSM1	dsDNA	228827
Ceceduovirus	Emmerichvirinae	Straboviridae	MF498775	Aeromonas phage AS-sw	dsDNA	230024
Ceceduovirus	Emmerichvirinae	Straboviridae	MF448340	Aeromonas phage AS-zj	dsDNA	229929
Ishigurovirus	Emmerichvirinae	Straboviridae	GU459069	Aeromonas phage 65	dsDNA	235229
Centumtrigintavirus	Tevenvirinae	Straboviridae	HM114315	Acinetobacter phage 133	dsDNA	159801
Dhakavirus	Tevenvirinae	Straboviridae	MK234886	Escherichia phage AnYang	dsDNA	169215
Dhakavirus	Tevenvirinae	Straboviridae	HQ829472	Escherichia phage Bp7	dsDNA	168066
Gaprivervirus	Tevenvirinae	Straboviridae	MW598459	Escherichia virus vB_EcoM_RZ	dsDNA	170318
Gaprivervirus	Tevenvirinae	Straboviridae	GQ981382	Shigella phage SP18	dsDNA	170605
Gelderlandvirus	Tevenvirinae	Straboviridae	KU867307	Salmonella phage vB_SnwM_CGG4-1	dsDNA	159878
Gelderlandvirus	Tevenvirinae	Straboviridae	MF957259	Salmonella phage Melville	dsDNA	159323
Jiaodavirus	Tevenvirinae	Straboviridae	KT239446	Klebsiella phage JD18	dsDNA	166313
Jiaodavirus	Tevenvirinae	Straboviridae	MH729874	Klebsiella phage KP179	dsDNA	162630
Kagamiyamavirus	Tevenvirinae	Straboviridae	LC371242	Escherichia phage EcS1	dsDNA	175437
Kanagawavirus	Tevenvirinae	Straboviridae	MN882610	Enterobacter phage vB_EclM_CIP9	dsDNA	174924
Kanagawavirus	Tevenvirinae	Straboviridae	MN087708	Enterobacter phage vB_EhoM-IME523	dsDNA	172763
Karamvirus	Tevenvirinae	Straboviridae	OR753410	Enterobacter phage vB_EclM_AS6	dsDNA	171281
Karamvirus	Tevenvirinae	Straboviridae	GU323318	Enterobacter phage CC31	dsDNA	165540
Koserivirus	Tevenvirinae	Straboviridae	MW239124	Citrobacter phage CkP1	dsDNA	168463
Moonvirus	Tevenvirinae	Straboviridae	MG250484	Citrobacter phage CF1 ERZ-2017	dsDNA	171911
Moonvirus	Tevenvirinae	Straboviridae	MW325771	Salmonella phage KM16	dsDNA	170126
Mosigvirus	Tevenvirinae	Straboviridae	KP869101	Escherichia coli O157 typing phage 3	dsDNA	168733
Mosigvirus	Tevenvirinae	Straboviridae	MG589383	Shigella phage phi25-307	dsDNA	167544
Mosugukvirus	Tevenvirinae	Straboviridae	KF835987	Pectobacterium bacteriophage PM2	dsDNA	170286
Risoevirus	Tevenvirinae	Straboviridae	MH059636	Erwinia phage Cronus	dsDNA	175774
Tegunavirus	Tevenvirinae	Straboviridae	KY593455	Yersinia phage fHe-Yen9-01	dsDNA	167773
Tegunavirus	Tevenvirinae	Straboviridae	HE956709	Yersinia phage phiR1-RT	dsDNA	168809
Tequatrovirus	Tevenvirinae	Straboviridae	KT184308	Enterobacteria phage Aplg8	dsDNA	168496
Tequatrovirus	Tevenvirinae	Straboviridae	AP011113	Escherichia phage AR1	dsDNA	167435
Winklervirus	Tevenvirinae	Straboviridae	MF036690	Serratia phage CHI14	dsDNA	171175
Winklervirus	Tevenvirinae	Straboviridae	MF036692	Serratia phage X20	dsDNA	172450
Acajnonavirus	Twarogvirinae	Straboviridae	HM004124	Acinetobacter phage Acj9	dsDNA	169947
Hadassahvirus	Twarogvirinae	Straboviridae	MK278860	Acinetobacter phage AbTZA1	dsDNA	168223
Hadassahvirus	Twarogvirinae	Straboviridae	MN864865	Acinetobacter phage vB_AbaM_PhT2	dsDNA	166330
Lasallevirus	Twarogvirinae	Straboviridae	GU911519	Acinetobacter phage Acj61	dsDNA	164093
Lazarusvirus	Twarogvirinae	Straboviridae	MH165274	Acinetobacter phage AM101	dsDNA	166487
Lazarusvirus	Twarogvirinae	Straboviridae	MN723850	Acinetobacter phage vB_AbaM_Apostate	dsDNA	164746
